CombinedStreet	Suburb	State	PostCode	Country
3 Harley Place	Kinsley	WA	6026	
65/76 RIDGEWOOD BLVD	RIDGEWOOD	WA	6030	
14 Netherwood Rd	High Wycombe	WA	6057	
71 Glen Iris Drive	Jandakot	WA	6164	
8/19 Flynn St	Churchlands	WA	6018	
10 Long Reef Pl	Hillarys	WA	6025	
20 Murdoch Rd	Thornlie	WA	6108	
222/26 Hood St	Subiaco	WA	6008	
21 Tasman Loop	Dudley Park	WA	6210	
17 Cade St	Greenwood	WA	6024	
13 Netherwood Rd	High Wycombe	WA	6057	
87 Poincare St	Balcatta	WA	6021	
205 Hamersley Rd	Subiaco	WA	6008	
205 / 30 Hood St	Subiaco	WA	6008	
U 15/1 Waterway Court	Churchlands	WA	6018	
7/177 Wanaroo Rd	Tuart Hill	WA	6060	
12/418 Murray Street	Perth	WA	6000	
35 Prince St	Gosnells	WA	6110	
7 Karoona Street	Baldivis	WA	6171	
2 Napa Close	Warnbro	WA	6169	
5/32 Moreton Crescent	Warnbro	WA	6169	
288 Nichlson Road	Subiaco	WA	6008	
18 Marian Avenue	Aramadale	WA	6112	
6 Auger Green	Geraldton	WA	6530	
10 Casdira Pl	Cooloongup	WA	6169	
134 Grand Prom	Bedford	WA	6052	
78 dundebar rd	WANNEROO	WA	6065	
123 Melina St	Hillman	WA	6169	
45 Holland St	Wembley	WA	6014	
547b Karrinyup Rd	Stirling	WA	6021	
53 Melvista Ave	Nedlands	WA	6009	
14 Bibanup Court	Hillman	WA	6169	
Po Box 888	Nedlands	WA	6909	
6 paterson st	como	WA	0	
3 Levey Rise	Winthrop	WA	6150	
6 Baltic Mews	Waikiki	WA	6168	
8 Kenny Street	Mosman Park	WA	6012	
72 Gugeri Street	Claremont	WA	6010	
2/351 Hawtin Rod	Forrestfield	WA	6058	
45/59 Malcolm St	West Perth	WA	6001	
6 Mcpherson Ave	Clarkson	WA	6030	
5 Damian Road	Jandabup	WA	6065	
5 Kidbrooke Way	Kingsley	WA	6026	
2 La Page St	Esperance	WA	6450	
5 Mitchel Pl	Two Rocks	WA	6037	
21 Bingaham Rd	Bullsbrook	WA	6284	
600 Hay St	Perth	WA	6000	
12 Bryant Avenue	Mosman Park	WA	6012	
17 lillian Street	Cottesloe	WA	6011	
5 Keywa Place	Cooloongup	WA	6168	
unit 2 7 shearwater tce	ballajura	WA	6066	
63 Aldington Street	Maddington	WA	6109	
76 Port Royal Drive	Safety Bay	WA	6169	
36 Rathay St	Victroria Park	WA	6100	
46 Ellamere Retreat	Maddington	WA	6109	
3 Polston Close	Hocking	WA	6065	
4/71 Mount Street	West Perth	WA	6005	
52 GREENFIELDS CIRCLE	HOCKING	WA	6065	
8 Urawa Street	Geraldton	WA	6530	
6 Marble Place	Forrestfield	WA	6057	
70 Lascelles Pde	Gooseberry Hill	WA	6057	
21 Coaldale Link	Clarkson	WA	6030	
28 Lincoln St	Deepdale	WA	6530	
17 Edenbrooke Tce	Clarkson	WA	6030	
3 Amber Court	Warnbro	WA	6169	
17 Dolphin Rd	Safety	WA	6169	
4 Hamilton Road	High Wycombe	WA	6057	
61 Observatory Dr	Clarkson	WA	6038	
3 Dalbeattie Way	Kinross	WA	6028	
2/18 York Street	Tuart Hill	WA	6060	
31 Heytesbury Road	Subiaco	WA	6008	
9 Bushby Road	Wembley Downs	WA	6019	
144 Nicholson Rd	Langford	WA	6147	
7 poinciana place	wanneroo	WA	6065	
13 Nottingham Green	Highwycombe	WA	6057	
31 Dunmore Cct	Merriwa	WA	6030	
6 Burford Place	North Fremantle	WA	6159	Australia
3 Parke Rd	Kalamunda	WA	6057	
2/73 Grand Building	Joondalup	WA	6027	
1 Arrow Way	Cooloongup	WA	6168	
42 Polla Street	Dianella	WA	6059	
1-31 Baird  Ave	Nedlands	WA	6009	
14 Mends Way	Waikiki	WA	6169	
3 Kiawah Link	Meadow Springs	WA	6210	
12 Quindalup Ct	Hilman	WA	6168	
2390 Lilydale Road	Chidlow	WA	6556	
17 Tannidce Close	Kingsley	WA	6026	
5 derby rd	subiaco	WA	6008	
66 Hilton Crescent	Maddington	WA	6109	
17 Malone Mews	Clarkson	WA	6030	
65a Woodbridge Drive	Cooloongup	WA	6168	
"Unit 1, 2 Redbud Mews"	Cooloongup	WA	6168	
124/22 St. Georges Tce	Perth	WA	6000	
41 Tamarama Cres	Clarkson	WA	6030	
12 Stallwood Gardens	Leeming	WA	6149	
56/7 Harman Rd	Sorrento	WA	6020	
2 Breaden Drive	Cooloongup	WA	6168	
14 Sandalwood Street	Maddington	WA	6109	
47/289 Sydney Road	Gnangara	WA	6077	
1-209 Walcott Street	North Perth	WA	6006	
4/445 Rockaby Rd	Shantam Park	WA	6008	
14 Barr Street	Dianella	WA	6059	
10 Florence Pl	West Perth	WA	6005	
64/42 Waterroo	East Perth	WA	6004	
11 Jeanhuller Rd	High Wycombe	WA	6057	
12/23 Helm St	Maddington	WA	6109	
10 Stevens Rd	High Wycombe	WA	6057	
6 Indjidup Loop	Clarkson	WA	6030	
1 Glencoe Place	Cooloongup	WA	6168	
17 daimler dr	tapping	WA	6065	
62 Clement Street	Swanbourne	WA	6010	
8/9 Piranha Cres	Beechboro	WA	6063	
No Address	Not Provided	QLD	0	
1/66 Hammond st	bayswater	WA	6053	
1 Crowhurst Way	Morley	WA	6062	
342 Salvado Rd	Floreat	WA	6014	
28 Benzie Way	Parkwood	WA	6147	
15 Jindarra Close	Cooloongup	WA	6168	
1 Rydal Cry	Cooloongup	WA	6168	
36 Attra Street	Balcatta	WA	6021	
23 Tenement Loop	Hocking	WA	6065	
11 Finlayson St	Dunsborough	WA	6281	
23 Forden Street	Mount Tarcoola	WA	6530	
subiaco	subiaco	WA	6061	
25 Charnley Gardens	Waikiki	WA	6169	
178 Louis Road	Forrestfield	WA	6058	
No Address	Perth	WA	6000	
18 Norring Street	Cooloongup	WA	6168	
1/26 Hood St	Subiaco	WA	6008	
4/42 Monument Street	Mosman Park	WA	6012	
18 Fitzroy Close	Cooloongup	WA	6168	
1 Larkspur Lane	Ballajura	WA	6066	
685 Casuarina Way	Casuarina	WA	2487	
U2 131 Ninth Ave	Inglewood	WA	6052	
42 CHANDLER ROAD	SORRENTO1	WA	6020	
33 Comer St	Ferndale	WA	6147	
33 ackland rd	geraldton	WA	6530	
32 Arlide Gr	Eglinton	WA	6034	
72a Railway St	Cottesloe	WA	6010	
43 Sandpiper St	Sorrento	WA	6020	
16 Cuthbertson Drive	Cooloongup	WA	6168	
3 Brae Court	Cooloongup	WA	6168	
528 High Road	Lynwood	WA	6147	
32 Rubida Rise	Roleystone	WA	6111	
11 Lister Cl	Mosman Park	VIC	6012	
2101 Albany Highway	Gosnells	WA	6110	
50 Axminter Street	Warnbro	WA	6168	
910 Tijuana Road	Armadale	WA	6112	
28 Osborne Street	Joondanna	WA	6060	
3 prion pass	Tapping	WA	6065	
14 Poseidon Way	Parkwood	WA	6147	
16 Kembla Circle	Madeley	WA	6065	
3/72 Subiaco Rd	Subiaco	WA	6008	
1831 Beacon Rock Road	Beacon	WA	6472	
6 Glastonbury Way	Wattle Grove	WA	6107	
75 Dunmore Cct	Merriwa	WA	6030	
5/34 Astley St	Gosnells	WA	6109	
19 Toovey Court	Padbury	WA	6025	
17a carri way	ferndale	WA	6147	
44 Romney Way	Parkwood	WA	6147	
1 Manning Street	Mosman Park	WA	6012	
62 Exhibition Way	Cooloongup	WA	6168	
11 Bismarck Approach	Rockingham	WA	6168	
11 Basildon Way	Parkwood	WA	6147	
6 Creead Court	Wanneroo	WA	6065	
7 Watsonia St	Maddington	WA	6109	
21 Buffett Ramble	Quinns Rocks	WA	6030	
405 Knutsford Ave	Kewdale	WA	6105	
18 Meadow Court	Cooloongup	WA	6168	
125 Mueller Street	Albany	WA	6330	
39/138 Lewis Rd	Forrestfield	WA	6058	
10 Nabberu	Cooloongup	WA	6168	
128 Hayes Ave	Dianella	WA	6059	
38 sitina road	ashby	WA	6065	
14 Bentley Close	Claremont	WA	6010	
santa rosalia vista	wanneroo	VIC	6065	
37 Cressbrook Way	Carine	WA	6020	
250 St George Tce	Perth	WA	6000	
14 Dalaroo Court	Cooloongup	WA	6168	
5 Fitzoy Cl	Cooloongup	WA	6168	
17 St Michaels Court	Cooloongup	WA	6168	
12 /378 Guildford St	Perth	WA	6000	
7/1 Sydney St	North Perth	WA	6006	
140 Shiraz Boulevard	Pearsall	WA	6065	
123 Landbeach Bvd	Butler	WA	6030	
46 Canns Road	Bedfordale	WA	6112	
Ocean Reef Village site 18 Mangano Pl	Wanneroo	WA	6065	
15 Mariano Court	Rockingham	WA	6168	
30 Palmer Cres	High Wycombe	WA	6057	
1 Dorset Pl	Thornlie	WA	6108	
8c Whight Rd	Kalamanda	WA	6076	
58 Cinnabar Drive	Eglinton	WA	6034	
81 Edeny Rd	High Wycombe	WA	6057	
16 Lofoten Way	Ferndale	WA	6148	
12 Brandon Wy	Lynwood	WA	6147	
91 Challenger Rd	Madora Bay	WA	6210	
75 Kent Street	Rockingham	WA	6168	
20 Thurleigh App	Butler	WA	6036	
12 Grady Court	Waikiki	WA	6169	
4/11 Bures Court	Girrawheen	WA	6064	
51 Cuthbertson Dr	Cooloongup	WA	6168	
20 Westley Way	Coolongup	WA	6168	
6/322 Grand Promenade	Dianella	WA	6059	
31 Larwood Crescent	High Wycombe	WA	6057	
11 Gardiner Street	East Perth	WA	6004	
Unit 14 45 Winnetta Ridge	Tarcoola	WA	6530	
67 Mataitai Loop	Cooloongup	WA	6168	
115a Summers St	East Perth	WA	6004	
87 Birdwood Parade	Dalkeith	WA	609	
106 Westfield St	Maddington	WA	6109	
25 Wooramel Way	Cooloongup	WA	6168	
24 Kirin Way	Maddington	WA	6109	
17 Keens Ave	Sorrento	WA	6020	
20 Tonrita Pl	Wanneroo	WA	6065	
16 Dalaroo Court	Cooloongup	WA	6168	
Po Box 194	Rockingham	WA	6968	
13/54 Glenview St	Mt Tarcoola	WA	6530	
Po Box 9491	Mandurah East	WA	6210	
3 Bushby Close	Mount Tarcoola	WA	6530	
169 Bookera Rd East	Bookera	WA	6525	
29b Helm Street	Maddington	WA	6109	
23/163 Planet St	Carlisle	WA	6101	
17 Tavistock Cres	Lynwood	WA	6147	
36 Reservior Rd	Orange Grove	WA	6109	
212a /93 Thomas St	Subiaco	WA	6008	
14 Longfield Rd	Maddington	WA	6109	
6 Rotohine Place	Cooloongup	WA	6168	
50 Bluebell Avenue	Maida Vale	WA	6056	
94 Lyndale Av	Parkwood	WA	6147	
17 Barsden St	Cottesloe	WA	6010	
33 Pearson Street	Geraldton	WA	6530	
5 Ursinia Place	High Wycombe	WA	60578	
Karri Lodge	19 Hughie Edwards dr	WA	6030	
1 Latham Rd	Ferndale	WA	6148	
61 woodland street	swanville	WA	6010	
29 Solomon Circle	Rangeway	WA	6530	
40 The Boulevard	Floreat	WA	6014	
16 Robin Ave	Sorrento	WA	6020	
2/28-30 Shenton Rd	Claremont	WA	6010	
22 William St	Armadale	WA	6112	
165 barridale dr	kingsley	WA	6026	
1 Brae Crt	Cooloongup	WA	6168	
20/17 Syree Court	Marmion	WA	6020	
9 Carnegie Loop	Cooloongup	WA	6168	
4/20 Channar Rise	Duncraig	WA	6023	
1	1	WA	6000	
260 Powderbark Road	Lower Chittering	WA	6084	
35 Cobden St	Bayswater	WA	6053	
13 Rason Cl	Cooloongup	WA	6168	
7 Ziena Place	Parkwood	WA	6147	
1B Elizabeth rd	Wanneroo	WA	6065	
9 barracuda court	sorrento	WA	6020	
2 Rayne Street	Maddington	WA	6109	
8 Grace St	Ferndale	WA	6148	
17/32 Caporn St	Crawley	WA	6009	
2 Hibiscus Road	Maddington	WA	6109	
91 Park St	Subiaco	WA	6008	
9 Herbert Meander	Baldivis	WA	6171	
25 Purley Cres	Lynwood	WA	6147	
0	0	WA	0	
29 Hilton Cres	Maddington	WA	6109	
23 Lynwood Ave	Lynwood	WA	6147	
27 Castlecrag Drive	Kallaroo	WA	6025	
24 Greenlaw St	Duncraig	WA	6023	
85 Queensville Ave	Parkwood	WA	6147	Australia
240 st george tce	perth	WA	6000	
4 Waters St	Clarkson	WA	6030	
29 recreation rd	kalamunda	WA	6076	
15 Unnaro Street	Hillman	WA	6168	
76 Bottlenose Circut	Waikiki	WA	6169	
4 Leewood Cl	Safety Bay	WA	6169	
66 June Road	Safety Bay	WA	6171	
43 bayport crt	mindarie	WA	6030	
16b Pender Ct	Thornlie	WA	6108	
6 Bullfinch Way	Ballajura	WA	6066	
11/36 Baggot Road	Subiaco	WA	6008	
Unit 1/107 Birkett Street	Bedford	WA	6052	
3/17 Troy Terrace	Daglish	WA	6008	
132/7 Harman Road	Sorrento	WA	6020	
2 Reef Court	Sorrento	WA	6020	
1 Unit 4 Harding Close	Waikiki	WA	6169	
9 Hillview Rise	Cooloongup	WA	6168	
36/10 Boundary Rd	Mosman Park	WA	6012	
87a Norman Street	Innaloo	WA	6108	
1 Hanover Place	North Perth	WA	6004	
7 Westminster Grove	Port Kennedy	WA	6172	
61 Mount St	West Perth	WA	6005	
219/30 Hood St	Subiaco	WA	6008	
18 Fagin Way	Forrestfield	WA	6058	
19 Orchid St	Joondanna	WA	6060	
919 Nicholson Rd	Oakford	WA	6121	
16 Daintree Crt	Merriwa	WA	6030	
7/45 Douglas Ave	South Perth	WA	6151	
Stannard St	St James	WA	6102	
31 Barlee Crescent	Cooloongup	WA	6168	
3 Bridgeway Ave	Ferndale	WA	6148	
49 Graham Rd	Quinns Rocks	WA	6030	
3 11 Grampian Court	Cooloongup	WA	6168	
32 Walang Ave	Figtree	NSW	2525	
44 MENTOR STREET	BALDIVIS	WA	6171	
2 Maple Place	Maddington	WA	6109	
1/3 Brigid Rd	Subiaco	WA	6008	
8 Francis St	Subiaco	WA	6008	
29/31 Wellington Street	MOsman Park	WA	6009	
5 Allepo Drive	Kardinya	WA	6163	
14 Rotterdam Vista	Wanneroo	WA	6065	
8 gausson turn	ashby	WA	6065	
18 Myerson Crescent	Maida Vale	WA	6057	
11 West End Parade	Canningvale	WA	6155	
10 Malo Link	Forrestfield	WA	6058	
6/4 Wittenoom Rd	High Wycombe	WA	6057	
6 Romeo Pass	Wandina	WA	6530	
38 Orangedale Rd	Lesmurdie	WA	6076	
51 LALINA WAY	WANNEROO	WA	6065	
86 napier st	cotteslow	WA	6011	
76/76 Ridgewood Blvd	Ridgewood	WA	6030	
16 Boronia Cresent	City Beach	WA	6015	
12 Currawong Way	Thornille	WA	6108	
81 Grant Street	Cottesloe	WA	6011	
57 Vinca Way	Forrestfield	WA	6058	
308 Block A/93  Thomas Street	Subiaco	WA	6008	
902/30 The Circus	Burswood	WA	6100	
Po Box 2251	Rockingham	WA	6960	
51 Baron Way	Gosnells	WA	6110	
152 Kent Street	Rockingham	WA	6168	
4 Glencoe Place	Lynwood	WA	6147	
36 Saint Clares Garden	Attwell	WA	6164	
Po Box 175	Wembley	WA	6913	
U2/9 Beacham Pl	Medina	WA	6167	
U9 12 Hastings St	Wanneroo	WA	6065	
4 Cardvi Court	High Wycombe	WA	6057	
6 Portsea Pl	Cooloongup	VIC	6169	
50 Kahana Parkway	Butler	WA	6036	
3 Knave Way	Innaloo	WA	6018	
No Address Moving	No Address Moving	WA	6169	
Bride Street	Mingenew	WA	6522	
8 / 5 Broome St	Highgate	WA	6003	
Unit 53 St Louis Estate	Claremont	WA	6010	
14 Mandalay Loop	Wandina	WA	6530	
33 Elmore Way	High Wycombe	WA	6057	
44 Browne Ave	Dalkeith	WA	6009	
10 Mary St	Claremont	WA	6010	
64 Owston Street	Mosman Park	WA	6012	
38 Charlston St	Karnup	WA	6176	
22 Danya Way	Butler	WA	6036	
2/47 Waterloo Street	Joondanna	WA	6060	
Rockingham Holiday Village 147 Dixon Rd	Rockingham	WA	6168	
2/15 Corvus Place	Rockingham	WA	6168	
9/152 mill point road	south perth	WA	6151	
47 Halifax Boulevard	Mundarie	WA	6030	
2 Blinko Place	Cooloongup	WA	6168	
249 Alexander Drive	Glenfield	WA	6532	
U13/54 Glenview St	Geraldton	WA	6530	
15 Enfield Turn	Clarkson	WA	6030	
3b Austin Court	Cooloongup	WA	6169	
1 Brooklyn Ave	Pearsell	WA	6065	
24 Freeduff Drive	Wattle Grove	WA	6107	
22 Kentia Close	Warnbro	WA	6169	
26 Observatory Dr	Clarkson	WA	6030	
116a Penguin Road	Safety Bay	WA	6168	
38 Willcock St	Ferndale	WA	6148	
8 Teviot Close	Cape Burney	WA	6530	
5 Augustus Way	Bentley	WA	6102	
25 Gummery Street	Bedford	WA	6052	
8 Torridon Ave	Parkwood	WA	6147	
55 Sandalford Drive	Beldon	WA	6027	
16 Shadytree Lane	Maida Vale	WA	6057	
"Unit 4, 9 Stoackman Way"	Canning	WA	6107	
6 Tighe St	Jolimont	WA	6014	
170 Roberts St	Joondanna	WA	6060	
22 austin st	subiaco	WA	6008	
22 Millson Road	Maida Vale	WA	6057	
278 Marmion Street	Cottesloe	WA	6011	
3/6 Mundering prd	Claremont	WA	6001	
70 Bendle St	Geelong	VIC	3219	
15 Park Lane	Alexander Heights	WA	6064	
84 Shenton Rd	Claremont	WA	6010	
19 Phillip Road	Dalkeith	WA	6009	
4 Edith Road	Safety Bay	WA	6168	
212 Westfield St	Maddington	WA	6109	
45 O'Dell St	Thornlie	WA	6108	
68 Hampshire St	East Victoria Park	WA	6101	
53 Sirius Ramble	Quinns Rocks	WA	6030	
1a Coolberry Rd	Huntingdale	WA	6110	
35 Seawind Dr	Rockingham	WA	6168	
57 Upton Street	St James	WA	6102	
656 Wanneroo Rd	Balga	WA	6061	
1/3 Marlborough St	Maylands	WA	6051	
32a Parry St	Claremont	WA	6010	
10/22 Avonmore Tce	Cottesloe	WA	6010	
6 Zaragoza Ct	Seville Grove	WA	6112	
390 Durlacher St	Geraldton	WA	6530	
68 Tibardden Circle	Ascot	WA	6104	
Unit 4c/93 Thomas Street	Subiaco	WA	6008	
3/52 Green St	Joondanna	WA	6060	
4/10 eric st	como	WA	6152	
6/144 Millpoint Road	South Perth	WA	6151	
17 riley rd	claremont	WA	6010	
PO BOX 488	Wembley	WA	6913	
5 Jib Pl	Ballajura	WA	6066	
17 elizabeth road	wanneroo	WA	6065	
102/85 Hester Ave	Merriwa	WA	6036	
195/48 Ashley Rd	Tapping	WA	6027	
67 Ingleton Lane	Mount Lawley	WA	6050	
50 Lynwood Ave	Lynwood	WA	6147	
31 sulman road	wembley downs	WA	6010	
414a Walter Road	Morley	WA	6062	
28 Millgrove Avenue	Cooloongup	WA	6168	
2 Glengarry St	Parkwood	WA	6147	
21 bridle drive	maidavale	WA	6057	
849 Hay St	Perth	WA	6000	
24/36 Wellington Street	Mosman Park	WA	6012	
5 Bunthorne Court	Duncraig	WA	6023	
Australia				
31 Owston Street	Mosman Park	WA	6012	
51/645 Hay St	Jolimont	WA	6014	
44 Toreena St	Nedlands	WA	6009	
Unit 1/17 Bridal Cresent	Kenwick	WA	6107	
24b Wolseley Road	Morley	WA	6062	
163 Townsend Rd	Subiaco	WA	6008	
25 Federation Drive	Singleton	WA	6157	
73 Grebe Street	Stirling	WA	6021	
9 Portsea Place	Cooloongup	WA	6168	
17 Orange Ave	Perth	WA	6000	
21 Bayview Tce	Claremont	WA	6010	
211 Benara Road	Beechboro	WA	6063	
31 Keywest Drive	Mullaloo	WA	6027	
1 Cambridge Crescent	Cooloongup	WA	6168	
25 Stewart Road	High Wycombe	WA	6057	
66 Broadway	Bassendean	WA	6059	
9 Gillen Place	Wakiki	WA	6169	
2 Colomba Place	Peppermint Grove	WA	6011	
18 Catambro Way	Waikiki	WA	6169	
3 Gough Place	Booragoon	WA	6154	
15 Memo Pl	Greenwood	WA	6024	
348 Forrest Road	Haynes	WA	6112	
5/48 Fitzgerald St	Northbridge	WA	6000	
NIL	NIL	WA	6000	
158 St George Tce	Perth	WA	6000	
164 Hubert Street	East Victoria Park	WA	6101	
143 Nicholson Rd	Lynwood	WA	6147	
47 Millenden Street	Carramar	WA	6031	
11 Cutlas Splace	Safety Bay	WA	6169	
172/76 ridgewood bvd	Ridgewood	WA	6030	
21 Barracuda Ch	Sunset Beach	WA	6530	
251 Lambeth Cir	Wellard	WA	6170	
220 Westfield Road	Maddington	WA	6109	
4 Estevan Way	Ferndale	WA	6148	
825 hay st	perth	VIC	6000	
26 Park Drive	Cooloongup	WA	6168	
21a Somerton Road	Karrinyup	WA	6018	
45a Bertram Street	Maddington	WA	6109	
7 Soley Pl	Ferndale	WA	6148	
22/7 Harman Road	Sorrento	WA	6020	
35 Monk St	Kensington	WA	6151	Australia
5 Cattach Way	Byford	WA	6122	
1588 Bylong Valley Way	Kandos	NSW	2848	
6 Beacan Way	Singleton	WA	6175	
5 kelty rd	wanneroo	WA	6065	
64a Wilkie Street	64A Wilkie Street	VIC	6021	
3/8 Warlu Place	High Wycombe	WA	6057	
43 Grange Drive	Cooloongup	WA	6168	
28 Amos Road	Wanneroo	WA	6065	
9 Springside Cresc	Glen Forrest	WA	6071	
16 Colmwith Way	Butler	WA	6035	
2a Fernan Road	High Wycombe	WA	6057	
UNIT 2701/237 ADELAIDE TCE	PERTH	WA	6000	
407 Belmont Ave	Cloverdale	WA	6105	
17/50 Wellington Street	Mosman Park	WA	6012	
13 Jarrad Street	Cottesloe	WA	6011	
30 Capri Leone Way	Sinagra	WA	6065	
71 Stickland St	Swanbourne	WA	6010	
9/156 labouchere road	como	WA	6152	
79 Glendower St	Perth	WA	6000	
43 Mends Way	Waikiki	WA	6169	
7/35 Nicholson Road	Cannington	WA	6107	
8/20 Excelsior St	Shenton Park	WA	6008	
75 David St	High Wycombe	WA	6057	
6 Manning Place	Marsden Meadows	WA	6530	
16b Baldwin St	Como	WA	6152	
188/1140 Wanneroo rd	Ashby	WA	6065	
20 rome rd	wanneroo	WA	6065	
Lakeside Caravan Park	Baldivis	WA	6171	
26 FLANINGO WAY	WILLETTON	WA	6155	
137/3 Dean Street	Claremont	WA	6010	
35 Cilantro Parkway	Treebuy	WA	6164	
49 Fearny Gardens	High Wycombe	WA	6057	
7 The Anchorage	Maylands	WA	6061	
20 Colonen Street	Wandina	WA	6530	
48 Fairview Drive	Waikiki	WA	6169	
6/16 Hefron Street	Rockingham	WA	6168	
3 dara crt	wanneroo	WA	6065	
1/102 Royal St	Tuart Hill	WA	6060	
265 Kalamanda Rd	Maidavale	WA	6057	
484 Murray St	Perth	WA	6000	
3 Merrima Crt	Cooloongup	WA	6168	
11/85 Mcdowell Loop	Parkerville	WA	6081	
12 Clematis Cres	Uttakarra	WA	6530	
12 York Street	Mosman Park	WA	6012	
31 Riverlinks Dr	Clarkson	WA	6030	
164 Daglish St	Wembley	WA	6014	
179/189 Adelaide Tce	East Perth	WA	6004	
16 Leua St	Nedlands	WA	6009	
16 Doradeen Close	Hillman	WA	6168	
50 Wittennom	East Perth	WA	6004	
31/645 Hay St	Jolimont	WA	6014	
"8 Jecks Street,"	Maida Vale	WA	6057	
10 Hellfire Road	Darch	WA	6065	
23/9 Delhi St	West Perth	WA	6005	
20 burt st	Mount lawley	WA	6050	
4 Pardalote Way	Tapping	WA	6065	
49 La Fayette Blvd	Bibra Lake	WA	6163	
47 Commerical Road	Shenton Park	WA	6008	
86 Lambertia Crescent	Highwycombe	WA	6057	
31 Mullaloo Drive	Mullaloo	WA	6027	
23/18 Albert St	Claremont	WA	6010	
179 Townshend Rd	Subiaco	WA	6008	
01 Antibea Cove	Port Kennedy	WA	6172	
36 Lionfish Way	Waikiki	WA	6169	
4 Reiley Rd	Claremont	WA	6010	
8/36 Kings Park Rd	West Perth	WA	6005	
3/17-19 York Street	Tuart Hill	WA	6060	
33 Mandon St	Forrestfield	WA	6058	
25 Rangeview Crt	Maddington	WA	6109	
88 Homestead Road	Gosnells	WA	6109	
13 Bertram St	Maddington	WA	6109	
35 bowmore dr	wanneroo	WA	6065	
17 Liriope Parkway	Sinagra	WA	6065	
1 53 Mount St	West Perth	WA	6005	
24 Mount St	Claremont	WA	6010	
16 Elizabeth Street	Wanneroo	WA	6065	
36 First Ave	Claremont	WA	6010	
42B pearl st	sorrento	WA	6020	
69 Scott Road	Geraldton	WA	6530	
4/156 Gwenyfred Rd	Kensington	WA	6151	
7 Lindeman Ct	Waikiki	WA	6169	
14 Tantini Cl	Parkwood	WA	6147	
31 Kennett St	Maddington	WA	6109	
14 Rankin Rd	Shenton Park	WA	6008	
32 McGregor Road	Palmyra	WA	6157	
18 Protea Way	Banksia Grove	WA	6065	
3 Grant St	Emelton	WA	6062	
9 Bardot Court	Hillman	WA	6168	
7 robin street	murray bridge	WA	5253	
2/74 Kent Street	Rockingham	WA	6168	
25/36 Kings Park Rd	West Perth	WA	6005	
6 A Paula Maslen Place	Geraldton	WA	6530	
14 Citrus Grove	High Wycombe	WA	6057	
235 St George Tce	Perth	VIC	6000	
64 king st	perth	WA	6000	
17 Rae Place	Hillarys	WA	6025	
3 Oxside St	Marvel Loch`	WA	6426	
4 Nash St	Hillarys	WA	6025	
Mudroch	South Perth	WA	6150	
7 Vincrullo Way	Sinagra	WA	6065	
14 Fairmore Satreet	Warnbro	WA	6169	
90 wyanmbi way	wanneroo	WA	6065	
4/71 Mount ST	West Perth	WA	6005	
5 Gillam Place	Waikiki	WA	6169	
4a Andros Rd	Safety Bay	WA	6169	
136 Rokeby Rd	Subiaco	WA	6008	
17 Karlak Circuit	Forrestfield	WA	6058	
46/143 Adelaide Tce	East Perth	WA	6004	
33 Sandlier Street	Subiaco	WA	6008	
57 Willmott Drive	Cooloongup	WA	6168	
9/3 Renton Way	Bertam	WA	6167	
66 Gascoyne Way	Waikiki	WA	6168	
7 Mission Place	Cooloongup	WA	6168	
4 Seadrift St	Yanchep	WA	6035	
